STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
724836,23208, 20140401,   45.8,24,   43.1,24, 9999.9, 0, 9999.9, 0,   6.9,24,   8.4,24,  13.0,  20.0,   50.0*,  44.6*,99.99 ,999.9, 010000,
724837,93216, 20140401,   46.7,24,   43.6,24, 1018.9, 8, 1009.1,17,   8.9,24,  12.2,24,  20.0,  26.0,   58.1 ,  40.5 , 0.33C,999.9, 010000,
724838,93205, 20140401,   47.0,24,   43.2,24, 1012.6,21, 1010.2,24,   9.5,24,  10.5,24,  19.0,  24.1,   57.9 ,  43.0 , 0.17G,999.9, 010000,
724839,93225, 20140401,   46.8,24,   43.3,24, 1012.4,20, 1011.3,24,   8.7,24,   9.0,24,  13.0,  15.9,   60.1 ,  43.0 , 0.17G,999.9, 010000,
724915,23259, 20140401,   51.2,24,   42.0,24, 1015.0,24, 1005.8,24,   9.5,24,   6.4,24,  14.0,  22.9,   62.1 ,  45.0 , 0.41G,999.9, 010000,
724920,23237, 20140401,   47.9,24,   43.5,24, 1012.9,24, 1012.0,24,   9.8,24,   8.8,24,  20.0,  25.1,   59.0 ,  39.9 , 0.15G,999.9, 010000,
724926,23258, 20140401,   48.1,24,   29.0,23, 1013.5,22, 1009.9,24,   9.3,24,   6.1,24,  15.0,  21.0,   57.0*,  41.0*, 0.05G,999.9, 010000,
724927,23285, 20140401,   48.2,23,   41.3,23, 1012.4,22,  998.0,23,   9.3,22,   4.9,23,  13.0,  22.0,   57.9 ,  39.0 , 0.47G,999.9, 010000,
724930,23230, 20140401,   50.9,24,   43.6,24, 1012.5,20, 1009.4,24,   9.8,24,  10.7,24,  25.1,  31.1,   57.9 ,  46.9 , 0.66G,999.9, 010000,
724937,23289, 20140401,   52.8,13,   44.3,13, 9999.9, 0, 1012.7, 9,  22.7,13,   8.4,13,  15.0, 999.9,   59.0*,  46.4*,99.99 ,999.9, 010000,
724938,93231, 20140401,   48.8,23,   42.8,23, 9999.9, 0, 1012.9,16,   9.7,23,   6.7,23,  13.0,  18.1,   57.2*,  44.6*,99.99 ,999.9, 010000,
724940,23234, 20140401,   51.2,24,   45.1,24, 1012.3,24, 1011.9,24,   9.6,24,   8.0,24,  15.9,  22.9,   59.0 ,  48.0 , 0.51G,999.9, 010000,
724945,23293, 20140401,   48.2,24,   43.2,24, 1013.0,23, 1011.3,24,   9.9,24,   8.3,24,  13.0,  20.0,   57.0 ,  43.0 , 0.46G,999.9, 010000,
724946,93232, 20140401,   52.4,16,   43.8,16, 9999.9, 0, 1008.6,11,  10.0,16,   9.6,16,  18.1, 999.9,   59.0*,  44.6*,99.99 ,999.9, 010000,
724955,93227, 20140401,   48.4,24,   44.5,24, 1011.1,21, 1010.0,24,   9.7,24,   6.9,24,  15.0,  22.9,   55.9 ,  39.9 , 0.38G,999.9, 010000,
724957,23213, 20140401,   46.1,24,   43.2,24, 1010.7,21, 1005.9,24,   6.8,24,   4.2,24,  18.1,  27.0,   54.0 ,  39.9 , 0.72G,999.9, 010100,
724973,93203, 20140401,   45.7,21,   41.6,21, 9999.9, 0, 1003.9,14,   9.9,21,  11.1,21,  20.0,  22.0,   50.0*,  42.8*,99.99 ,999.9, 010000,
725845,23225, 20140401,   27.5,24,   25.3,24, 1010.3, 7,  830.7,24,   0.9,24,   7.6,24,  13.0,  19.0,   32.0*,  24.8*, 0.95G,999.9, 101000,
725846,93201, 20140401,   27.5,23,   22.1,23, 9999.9, 0,  811.2,15,   6.8,23,   6.2,23,  15.0,  21.0,   35.6*,  17.6*, 0.24G,999.9, 001000,
725847,93230, 20140401,   28.2,24,   18.5,24, 1007.8,10,  799.0,24,   4.9,24,   8.2,24,  14.0,  22.0,   39.9 ,  19.9 , 0.22G,999.9, 101000,
725905,23275, 20140401,   44.5,24,   40.7,24, 1010.6,15,  988.2,24,   8.8,24,   2.3,24,   9.9,  20.0,   50.0 ,  41.0 , 1.23G,999.9, 010000,
725910,24216, 20140401,   46.3,24,   42.3,24, 1011.5,17,  998.5,24,   8.8,24,  11.7,24,  17.1,  27.0,   55.0 ,  42.1 , 0.33G,999.9, 010000,
725920,24257, 20140401,   45.3,24,   42.3,24, 1010.6,15,  992.4,24,   9.1,24,  10.3,24,  17.1,  19.0,   52.0 ,  43.0 , 0.28G,999.9, 010000,
725930,23233, 20140401,   49.9,24,   43.2,24, 1014.6,24, 1011.0,24,   9.9,24,   7.8,24,  15.0,  20.0,   61.0 ,  44.1 , 0.27G,999.9, 010000,
725940,24213, 20140401,   48.8, 4,   39.7, 4, 1009.1, 4, 1006.3, 4,   9.9, 4,   8.0, 4,   9.9, 999.9,   54.0 ,  43.0 , 0.47G,999.9, 000000,
725945,24283, 20140401,   48.9,24,   39.4,24, 1009.2,24, 1001.0,24,  10.0,24,   8.2,24,  12.0,  18.1,   59.0 ,  43.0 , 0.47G,999.9, 010000,
725946,24286, 20140401,   48.6,24,   40.6,24, 1008.8,24, 1006.8,24,  10.0,24,   9.5,24,  15.0,  22.0,   55.9 ,  44.1 , 0.48G,999.9, 010000,
725955,24259, 20140401,   38.0,24,   29.7,24, 1009.8,23,  915.2,24,  10.0,24,   4.9,24,  15.0,  19.0,   54.0 ,  25.0 , 0.00G,999.9, 000000,
725957,24215, 20140401,   34.9,24,   30.8,24, 1011.3,11,  885.3,24,   6.6,24,   1.2,24,   7.0, 999.9,   45.0 ,  30.9 , 0.70G,999.9, 101000,
725958,94299, 20140401,   34.9,24,   27.7,24, 1007.7,13,  857.5,24,   9.0,24,   7.0,24,  18.1,  22.9,   46.0 ,  27.0 , 0.05G,999.9, 001000,
745046,93242, 20140401,   49.0,24,   40.5,24, 1014.3,24, 1005.2,24,   9.8,24,   6.6,24,  17.1, 999.9,   66.0 ,  39.0 , 0.00G,999.9, 010000,
745048,93210, 20140401,   47.6,24,   41.9,24, 1012.9,16, 1005.5,24,   9.3,24,  11.2,24,  20.0,  25.1,   55.9*,  44.6*, 0.38G,999.9, 010000,
745056,53120, 20140401,   50.8,24,   43.1,24, 1015.2,17,  965.4,17,   8.8,24,   7.0,24,  18.1,  21.0,   66.9 ,  33.1 , 0.00G,999.9, 010000,
745057,53130, 20140401,   58.1, 4,   36.5, 4, 9999.9, 0,  979.5, 4,  25.0, 4,   5.8, 4,   9.9, 999.9,   60.8*,  55.4*, 0.00I,999.9, 000000,
